2018-10-08,AFCF1711AS,TUE 09-10-2018,14:50 - 15:50,NEW CAMPUS,D-08-11,ABUS008-3-C-BMS-T,KUMARESU A/L MURUGASU @ MURUGESI
2018-10-08,AFCF1711AS,TUE 09-10-2018,16:00 - 17:00,NEW CAMPUS,B-07-06,AAQS006-3-C-BF-T,DURGASHINI A/P LINGADARAN
2018-10-08,AFCF1711AS,WED 10-10-2018,08:30 - 10:30,NEW CAMPUS,E-08-05,AAQS007-3-C-EWP-L,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1711AS,WED 10-10-2018,10:35 - 11:35,NEW CAMPUS,Tech Lab 6-15,AAQS008-3-C-PRPN-LAB,MOHAMAD SHAHIMAN BIN MAHDZIR
2018-10-08,AFCF1711AS,WED 10-10-2018,11:35 - 12:35,NEW CAMPUS,Tech Lab 6-15,AAQS008-3-C-PRPN-T,MOHAMAD SHAHIMAN BIN MAHDZIR
2018-10-08,AFCF1711AS,WED 10-10-2018,13:45 - 15:45,NEW CAMPUS,D-06-13,AAQS006-3-C-BF-L,DURGASHINI A/P LINGADARAN
2018-10-08,AFCF1711AS,THU 11-10-2018,12:40 - 13:40,NEW CAMPUS,E-08-08,AAQS008-3-C-PRPN-L,MOHAMAD SHAHIMAN BIN MAHDZIR
2018-10-08,AFCF1711AS,THU 11-10-2018,16:00 - 17:00,NEW CAMPUS,E-08-05,AAQS007-3-C-EWP-T,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1711ICT,MON 08-10-2018,10:35 - 11:35,NEW CAMPUS,D-08-12,AICT003-3-C-MCT-L,SYED MOHD ZAHID BIN SYED ZAINAL ARIFFIN
2018-10-08,AFCF1711ICT,MON 08-10-2018,12:40 - 13:40,NEW CAMPUS,D-09-05,AICT004-3-C-ICA-T,NOR AFIFAH BINTI SABRI
2018-10-08,AFCF1711ICT,TUE 09-10-2018,10:35 - 11:35,NEW CAMPUS,Tech Lab 6-08,AICT003-3-C-MCT-LAB,SYED MOHD ZAHID BIN SYED ZAINAL ARIFFIN
2018-10-08,AFCF1711ICT,TUE 09-10-2018,11:35 - 12:35,NEW CAMPUS,Tech Lab 6-08,AICT003-3-C-MCT-T,SYED MOHD ZAHID BIN SYED ZAINAL ARIFFIN
